operator,tier,r2_score,has_regression,has_isolation_forest
OP_0005,very_high,0.9971814151036801,True,True
OP_0016,high,0.9913314000282686,True,True
OP_0009,zero,0.9528085605747425,True,True
OP_0002,high,0.9489832860948659,True,True
OP_0003,noise,0.9444577605387992,True,True
OP_0006,noise,0.9270117292615528,True,True
OP_0004,high,0.921199432357884,True,True
OP_0011,noise,0.8994751981158186,True,True
OP_0010,high,0.8685897208092339,True,True
OP_0007,noise,0.8617787406519762,True,True
OP_0023,very_high,0.8051911043582474,True,True
OP_0024,high,0.7239442087127903,True,True
OP_0001,low,0.6936954638710462,True,True
OP_0022,mid,0.6475109487560944,True,True
OP_0013,mid,0.6339822365042342,True,True
OP_0028,noise,0.5536975888300371,True,True
OP_0020,high,0.522770728574342,True,True
OP_0025,low,0.4618422046982438,True,True
OP_0017,zero,0.4596983335765842,True,True
OP_0015,low,0.42496183738410254,True,True
OP_0012,zero,0.3629573650447443,True,True
